Occurrences,Gloss,readability (rounded average),lemma,pos
335409,in,1,في,prep
270096,from,1,من,prep
181283,that,2,أن,conj_sub
178560,on;above#on_+_what/which,1,على,prep
157818,to;towards,1,إلى,prep
118356,be#if;whether_+_was;were,1,كان,verb
102603,say#said#be_said#say;(for_example),1,قال,verb
99163,this/these#this_[masc.sg.]#these#these_two_[masc.du.]#these_two_[fem.du.],1,هذا,pron_dem
94906,which;who;whom_[masc.sg.]#who;whom_[fem.pl.]#which;who;whom_[fem.sg.]#to/for_+_which;who;whom_[masc.sg.]#with/by_+_which;who;whom_[masc.sg.]#who;whom_[pl.]#as/like_+_which;who;whom_[masc.sg.]#which;who;whom_[du.]#to/for_+_those_(people)_who/whom_[pl.]#which;who;whom_[fem.du.]#with/by_+_which;who;whom_[fem.sg.]#as/like_+_which;who;whom_[fem.sg.]#with/by_+_those_(people)_who/whom_[pl.]#to/for_+_which;who;whom_[fem.sg.]#as/like_+_those_(people)_who/whom_[pl.],3,الذي,pron_rel
78047,no;not;non-#with_+_no_(without)#does;do;are;is_+_no;not#is;are_+_so;and_+_no;not,1,لا,part_neg
72000,what/which#why/for_+_what#with_+_what,3,ما,pron_rel
66422,that,2,ذلك,pron_dem
66261,"to/for_+_it/him_(it/he_has)#to/for_+_them_[fem.pl.]_(they_have)#to/for_+_it/them/her_(it/she_has,_they_have)#to/for_+_us_(we_have)#to/for_+_me#to/for_+_you_[masc.sg.]_(you_have)#to/for_+_them_both_(they_both_have)#to/for_+_me_(I_have)#to/for_+_you_both_(you_both_have)#to/for_+_them_[masc.pl.]_(they_have)#for/to#to/for_+_you_[fem.sg.]_(you_have)#to/for_+_you_[masc.pl.]_(you_have)#to/for_+_you_[fem.pl.]_(you_have)",1,ل,prep
62058,"(away)_from,_off,_about,_on,_over#about_+_what/which#(away)_from,_off,_about,_on,_over_+_who/whom#about_+_that/if/unless/whether/as_long_as/as_soon_as",1,عن,prep
59640,"may,_might,_perhaps,_maybe,_possibly,_probably#already",3,قد,part_verb
50479,did_not#did_+_not#unless_+_not,2,لم,part_neg
41655,something_with,1,مع,noun
